venue,year,family,count,venue_year_total,share_pct
EMNLP,2024,多模态,146,1268,11.514195583596216
EMNLP,2024,强化学习,42,1268,3.3123028391167195
EMNLP,2024,可信安全,210,1268,16.561514195583594
EMNLP,2025,大模型,952,1809,52.62576008844666
EMNLP,2025,多模态,223,1809,12.327252625760089
EMNLP,2025,可信安全,395,1809,21.83526810392482
EMNLP,2025,NLP/语音,239,1809,13.211719181868437
ICCV,2021,多模态,117,1612,7.258064516129033
ICCV,2021,视觉/三维/视频,1080,1612,66.99751861042184
ICCV,2021,优化/理论,53,1612,3.287841191066997
ICCV,2021,可信安全,77,1612,4.776674937965261
ICCV,2021,其他,285,1612,17.679900744416873
ICCV,2023,大模型,162,2156,7.5139146567718
ICCV,2023,多模态,216,2156,10.018552875695732
ICCV,2023,生成模型,158,2156,7.328385899814471
ICCV,2023,视觉/三维/视频,1149,2156,53.293135435992575
ICCV,2023,可信安全,91,2156,4.220779220779221
ICCV,2023,其他,380,2156,17.625231910946194
ICCV,2025,多模态,578,2701,21.399481673454275
ICCV,2025,生成模型,593,2701,21.95483154387264
ICCV,2025,视觉/三维/视频,1064,2701,39.39281747500926
ICCV,2025,推荐/检索/图,236,2701,8.737504627915586
ICCV,2025,其他,230,2701,8.515364679748242
ICLR,2020,生成模型,147,687,21.397379912663755
ICLR,2020,强化学习,136,687,19.7962154294032
ICLR,2020,优化/理论,48,687,6.986899563318777
ICLR,2020,推荐/检索/图,70,687,10.189228529839884
ICLR,2020,可信安全,80,687,11.644832605531295
ICLR,2020,其他,206,687,29.985443959243085
ICLR,2021,生成模型,115,860,13.372093023255813
ICLR,2021,视觉/三维/视频,114,860,13.25581395348837
ICLR,2021,强化学习,140,860,16.27906976744186
ICLR,2021,优化/理论,292,860,33.95348837209302
ICLR,2021,推荐/检索/图,45,860,5.232558139534884
ICLR,2021,可信安全,74,860,8.604651162790699
ICLR,2021,AI4Science/健康,80,860,9.30232558139535
ICLR,2022,大模型,109,1094,9.963436928702011
ICLR,2022,生成模型,149,1094,13.619744058500913
ICLR,2022,视觉/三维/视频,90,1094,8.226691042047532
ICLR,2022,强化学习,199,1094,18.190127970749543
ICLR,2022,优化/理论,224,1094,20.47531992687386
ICLR,2022,可信安全,88,1094,8.043875685557587
ICLR,2022,AI4Science/健康,95,1094,8.683729433272395
ICLR,2022,其他,140,1094,12.79707495429616
ICLR,2023,大模型,167,1573,10.616656071201525
ICLR,2023,生成模型,135,1573,8.582326764144947
ICLR,2023,视觉/三维/视频,281,1573,17.863954227590593
ICLR,2023,强化学习,238,1573,15.130324221233312
ICLR,2023,推荐/检索/图,101,1573,6.42085187539733
ICLR,2023,可信安全,117,1573,7.43801652892562
