venue,year,papers,min_cluster_size,n_neighbors,n_components,raw_topics,raw_outliers,reassigned_outliers,final_outliers,final_topics,largest_topic,median_topic_size,seconds,output_dir
CHI,2022,634,8,10,15,36,154,154,0,36,35,15.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CHI/year=2022
CVPR,2022,2074,10,10,15,84,421,421,0,84,69,21.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CVPR/year=2022
ECCV,2022,1645,8,10,15,86,298,298,0,86,59,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ECCV/year=2022
EMNLP,2022,828,8,10,15,48,145,145,0,48,37,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=EMNLP/year=2022
ICDE,2022,309,8,10,15,18,65,65,0,18,29,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICDE/year=2022
ICLR,2022,1061,8,10,15,59,204,204,0,59,54,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICLR/year=2022
ICML,2022,1233,8,10,15,65,196,196,0,65,42,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICML/year=2022
ICRA,2022,923,8,10,15,49,147,147,0,49,42,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICRA/year=2022
IJCAI,2022,862,8,10,15,51,127,127,0,51,36,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IJCAI/year=2022
IROS,2022,1202,8,10,15,67,273,272,1,67,33,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IROS/year=2022
KDD,2022,253,8,10,15,16,43,43,0,16,27,14.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=KDD/year=2022
MICCAI,2022,71,5,10,15,7,15,15,0,7,13,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=MICCAI/year=2022
NAACL,2022,442,8,10,15,24,92,92,0,24,42,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NAACL/year=2022
NeurIPS,2022,2671,10,10,15,107,567,567,0,107,67,21.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NeurIPS/year=2022
PR,2022,658,8,10,15,35,161,160,1,35,45,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2022
RSS,2022,67,5,10,15,6,10,10,0,6,16,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=RSS/year=2022
SIGGRAPH,2022,51,4,10,15,8,1,1,0,8,10,5.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH/year=2022
SIGGRAPH-Asia,2022,50,4,10,15,7,8,8,0,7,12,6.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH-Asia/year=2022
SIGIR,2022,161,6,10,15,12,37,37,0,12,25,11.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGIR/year=2022
SIGMOD,2022,153,6,10,15,12,22,21,1,12,23,12.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGMOD/year=2022
WWW,2022,364,8,10,15,20,60,59,1,20,43,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=WWW/year=2022
AAAI,2023,1572,8,10,15,86,248,248,0,86,44,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2023
ACL,2023,1075,8,10,15,65,201,201,0,65,38,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACL/year=2023
ACMMM,2023,902,8,10,15,52,133,133,0,52,41,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACMMM/year=2023
AIJ,2023,124,6,10,15,11,14,13,1,11,19,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2023
CHI,2023,871,8,10,15,40,214,214,0,40,56,18.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CHI/year=2023
CVPR,2023,2353,10,10,15,100,467,467,0,100,57,21.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CVPR/year=2023
EMNLP,2023,1047,8,10,15,55,237,237,0,55,56,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=EMNLP/year=2023
ICCV,2023,2156,10,10,15,84,476,476,0,84,64,23.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICCV/year=2023
ICDE,2023,371,8,10,15,21,39,39,0,21,40,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICDE/year=2023
ICLR,2023,1530,8,10,15,86,301,301,0,86,50,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICLR/year=2023
ICML,2023,1828,8,10,15,89,431,431,0,89,56,18.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICML/year=2023
ICRA,2023,1333,8,10,15,75,284,282,2,75,63,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICRA/year=2023
IJCAI,2023,851,8,10,15,46,142,141,1,46,45,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IJCAI/year=2023
IJCV,2023,222,6,10,15,18,35,35,0,18,21,10.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IJCV/year=2023
IROS,2023,1184,8,10,15,59,305,305,0,59,43,20.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IROS/year=2023
KDD,2023,313,8,10,15,21,36,36,0,21,41,12.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=KDD/year=2023
MICCAI,2023,73,6,10,15,7,8,8,0,7,20,8.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=MICCAI/year=2023
NeurIPS,2023,3218,10,10,15,114,797,797,0,114,89,24.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NeurIPS/year=2023
PR,2023,804,8,10,15,45,172,172,0,45,47,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2023
RSS,2023,110,6,10,15,11,12,12,0,11,23,9.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=RSS/year=2023
SIGGRAPH,2023,80,6,10,15,7,7,7,0,7,17,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH/year=2023
SIGGRAPH-Asia,2023,116,6,10,15,9,10,10,0,9,22,13.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH-Asia/year=2023
SIGIR,2023,165,6,10,15,12,20,20,0,12,30,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGIR/year=2023
TNNLS,2023,1024,8,10,15,58,198,198,0,58,38,18.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TNNLS/year=2023
TPAMI,2023,681,8,10,15,36,99,96,3,36,41,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TPAMI/year=2023
