area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Multimedia / HCI / graphics,TMM,journal,2001,39,38,0.9744,39
NLP / language,ACL,conference,2001,70,0,0.0,0
NLP / language,EMNLP,conference,2001,21,0,0.0,0
NLP / language,NAACL,conference,2001,32,0,0.0,0
Robotics / embodied AI,ICRA,conference,2001,678,0,0.0,677
Robotics / embodied AI,IROS,conference,2001,379,0,0.0,379
Computer vision,ECCV,conference,2002,53,0,0.0,53
Computer vision,IJCV,journal,2002,79,0,0.0,79
Computer vision,PR,journal,2002,329,1,0.003,327
Computer vision,TIP,journal,2002,132,131,0.9924,132
Computer vision,TPAMI,journal,2002,155,152,0.9806,154
Data / IR / Web / DB,ICDE,conference,2002,78,0,0.0,78
Data / IR / Web / DB,SIGIR,conference,2002,93,0,0.0,93
Data / IR / Web / DB,SIGMOD,conference,2002,54,0,0.0,54
Data / IR / Web / DB,TKDE,journal,2002,100,100,1.0,100
Data / IR / Web / DB,VLDB,conference,2002,89,0,0.0,89
Data / IR / Web / DB,WWW,conference,2002,72,0,0.0,72
General AI,AAAI,conference,2002,138,0,0.0,0
ML / learning,ICML,conference,2002,87,0,0.0,0
ML / learning,JMLR,journal,2002,8,8,1.0,8
ML / learning,NeurIPS,conference,2002,207,3,0.0145,0
Medical AI,MICCAI,conference,2002,98,0,0.0,98
Multimedia / HCI / graphics,ACMMM,conference,2002,90,90,1.0,90
Multimedia / HCI / graphics,CHI,conference,2002,58,0,0.0,58
Multimedia / HCI / graphics,TMM,journal,2002,50,48,0.96,50
NLP / language,ACL,conference,2002,65,0,0.0,0
NLP / language,EMNLP,conference,2002,41,0,0.0,0
Robotics / embodied AI,ICRA,conference,2002,689,0,0.0,689
Robotics / embodied AI,IROS,conference,2002,499,0,0.0,499
AI journals,AIJ,journal,2003,141,0,0.0,141
Computer vision,IJCV,journal,2003,60,0,0.0,60
Computer vision,PR,journal,2003,251,2,0.008,250
Computer vision,TPAMI,journal,2003,164,157,0.9573,163
Data / IR / Web / DB,ICDE,conference,2003,91,0,0.0,91
Data / IR / Web / DB,KDD,conference,2003,70,0,0.0,70
Data / IR / Web / DB,SIGIR,conference,2003,98,0,0.0,98
Data / IR / Web / DB,SIGMOD,conference,2003,90,0,0.0,81
Data / IR / Web / DB,TKDE,journal,2003,125,120,0.96,124
Data / IR / Web / DB,VLDB,conference,2003,112,0,0.0,112
Data / IR / Web / DB,WWW,conference,2003,77,0,0.0,77
General AI,IJCAI,conference,2003,276,0,0.0,0
ML / learning,ICML,conference,2003,117,0,0.0,0
ML / learning,NeurIPS,conference,2003,198,1,0.0051,0
Medical AI,MICCAI,conference,2003,98,0,0.0,98
Multimedia / HCI / graphics,ACMMM,conference,2003,81,80,0.9877,81
Multimedia / HCI / graphics,CHI,conference,2003,75,0,0.0,75
Multimedia / HCI / graphics,SIGGRAPH,conference,2003,142,0,0.0,142
Multimedia / HCI / graphics,TMM,journal,2003,52,50,0.9615,51
NLP / language,ACL,conference,2003,71,0,0.0,0
NLP / language,EMNLP,conference,2003,28,0,0.0,0
NLP / language,NAACL,conference,2003,37,0,0.0,0
Robotics / embodied AI,ICRA,conference,2003,709,0,0.0,709
Robotics / embodied AI,IROS,conference,2003,620,0,0.0,620
AI journals,AIJ,journal,2004,106,0,0.0,106
Computer vision,ECCV,conference,2004,47,0,0.0,47
Computer vision,IJCV,journal,2004,85,0,0.0,85
Computer vision,PR,journal,2004,269,2,0.0074,262
Computer vision,TIP,journal,2004,233,146,0.6266,233
Data / IR / Web / DB,ICDE,conference,2004,101,0,0.0,101
